x1,y1,dx1,dy1,x2,y2,dx2,dy2,ans
38.94,32.42,-0.72,0.0,91.75,29.56,0.24,0.0,ball_2
85.13,66.33,-0.06,0.0,52.08,69.13,0.51,0.0,ball_1
14.7,23.24,0.84,0.0,3.59,4.44,0.91,0.0,ball_2
67.2,55.07,0.41,0.0,14.76,1.6,-0.96,0.0,ball_2
40.88,94.2,-0.25,0.0,50.25,48.66,-0.21,0.0,ball_2
12.82,16.4,0.13,0.0,62.4,16.4,-0.3,0.0,same
61.35,8.86,-0.34,0.0,53.48,8.86,-0.82,0.0,same
55.37,79.94,0.31,0.0,13.58,16.49,0.46,0.0,ball_2
26.01,42.97,-0.93,0.0,57.75,59.97,0.5,0.0,ball_1
95.86,30.61,0.39,0.0,20.81,99.7,-0.61,0.0,ball_1
77.78,62.77,0.58,0.0,1.23,62.77,0.21,0.0,same
32.41,23.42,-0.66,0.0,99.74,23.42,-0.71,0.0,same
14.22,25.11,0.17,0.0,64.94,36.47,0.05,0.0,ball_1
72.03,59.54,0.42,0.0,87.46,68.15,-0.02,0.0,ball_1
3.27,89.27,-0.52,0.0,39.34,13.48,-0.22,0.0,ball_2
62.61,20.81,-0.47,0.0,72.66,88.1,0.31,0.0,ball_1
80.02,5.83,0.2,0.0,18.38,5.83,0.64,0.0,same
88.51,57.8,0.4,0.0,74.89,16.95,-0.45,0.0,ball_2
56.87,29.53,0.98,0.0,88.24,97.62,0.58,0.0,ball_1
85.73,2.94,-0.7,0.0,86.92,2.94,0.1,0.0,same
29.35,1.59,0.14,0.0,28.91,88.82,0.86,0.0,ball_1
88.44,49.19,-0.82,0.0,26.12,17.26,-0.79,0.0,ball_2
72.53,35.75,-0.99,0.0,25.56,57.45,-0.57,0.0,ball_1
30.37,32.68,0.64,0.0,3.7,79.52,0.17,0.0,ball_1
38.29,37.13,-0.13,0.0,93.17,65.17,0.35,0.0,ball_1
14.08,74.48,0.94,0.0,59.15,91.77,0.45,0.0,ball_1
46.85,20.63,-0.74,0.0,4.32,83.32,-0.19,0.0,ball_1
36.67,3.66,0.33,0.0,79.85,45.45,0.75,0.0,ball_1
3.7,44.1,-0.58,0.0,15.85,34.28,-0.5,0.0,ball_2
8.24,2.01,-0.66,0.0,80.03,2.01,0.38,0.0,same
15.2,84.99,-0.4,0.0,26.19,57.25,-0.57,0.0,ball_2
76.58,53.41,-0.19,0.0,99.0,66.57,-0.04,0.0,ball_1
49.86,47.19,0.34,0.0,65.02,13.31,-0.69,0.0,ball_2
85.33,68.02,0.66,0.0,52.77,14.53,0.38,0.0,ball_2
62.88,32.63,-0.97,0.0,12.27,32.63,0.6,0.0,same
69.7,42.78,0.98,0.0,77.69,42.78,-0.66,0.0,same
13.56,50.98,-0.68,0.0,61.36,50.98,-0.61,0.0,same
82.09,83.95,0.98,0.0,39.32,50.95,-0.45,0.0,ball_2
15.63,95.93,0.65,0.0,83.35,68.18,-0.78,0.0,ball_2
19.03,28.59,-0.75,0.0,62.64,32.68,-0.54,0.0,ball_1
10.61,4.7,0.25,0.0,93.63,46.2,-0.07,0.0,ball_1
43.49,60.82,-0.73,0.0,47.8,94.51,-0.79,0.0,ball_1
19.2,30.31,0.48,0.0,78.91,95.46,-0.12,0.0,ball_1
45.41,72.5,-0.57,0.0,58.68,21.57,-0.4,0.0,ball_2
27.09,37.88,0.3,0.0,72.39,21.97,-0.76,0.0,ball_2
18.28,64.43,0.81,0.0,74.83,52.86,-0.98,0.0,ball_2
92.95,19.36,0.04,0.0,65.88,34.26,0.79,0.0,ball_1
78.97,75.28,-0.62,0.0,19.96,77.85,-0.26,0.0,ball_1
62.11,93.3,-0.25,0.0,79.34,93.3,0.71,0.0,same
11.58,40.53,-0.18,0.0,21.29,40.53,0.62,0.0,same
84.84,46.3,-0.08,0.0,21.68,70.52,-0.76,0.0,ball_1
25.81,41.12,-0.09,0.0,77.89,41.12,-0.79,0.0,same
20.48,16.26,0.38,0.0,15.58,40.67,0.68,0.0,ball_1
35.47,35.83,-0.94,0.0,4.43,35.83,-0.68,0.0,same
60.73,40.6,0.46,0.0,90.51,40.6,0.23,0.0,same
49.32,20.26,-0.92,0.0,47.75,20.26,0.02,0.0,same
59.11,42.85,0.45,0.0,31.91,28.7,-0.9,0.0,ball_2
89.56,45.37,0.95,0.0,97.6,45.37,-0.72,0.0,same
59.62,1.56,-0.92,0.0,28.66,61.1,0.72,0.0,ball_1
97.71,35.1,0.09,0.0,80.72,67.55,0.39,0.0,ball_1
14.12,4.99,-0.49,0.0,49.44,60.13,-0.4,0.0,ball_1
61.28,90.19,-0.79,0.0,58.28,83.85,0.37,0.0,ball_2
21.96,22.58,0.41,0.0,10.81,0.74,0.15,0.0,ball_2
38.36,22.57,-0.96,0.0,81.08,35.44,0.36,0.0,ball_1
36.26,21.3,-0.19,0.0,72.55,16.07,0.56,0.0,ball_2
44.03,33.83,0.79,0.0,39.64,58.0,-0.18,0.0,ball_1
28.58,80.68,0.24,0.0,83.66,37.4,0.51,0.0,ball_2
7.38,3.32,-0.12,0.0,4.55,94.58,0.29,0.0,ball_1
81.2,77.97,0.73,0.0,31.23,2.13,-0.57,0.0,ball_2
62.04,53.57,-0.08,0.0,32.8,53.57,0.86,0.0,same
21.09,54.11,-0.1,0.0,9.54,60.06,0.62,0.0,ball_1
71.87,85.64,-0.78,0.0,5.08,50.18,0.37,0.0,ball_2
32.23,38.72,-0.87,0.0,4.39,28.23,0.22,0.0,ball_2
27.29,57.5,0.46,0.0,94.08,71.67,-0.27,0.0,ball_1
60.92,22.24,0.73,0.0,53.25,89.56,0.65,0.0,ball_1
70.01,30.16,0.33,0.0,44.46,52.93,-0.39,0.0,ball_1
28.33,82.94,-0.64,0.0,47.36,59.79,-0.64,0.0,ball_2
23.44,17.68,-0.52,0.0,2.43,77.26,-0.7,0.0,ball_1
54.13,31.07,-0.65,0.0,6.78,86.14,-0.35,0.0,ball_1
48.01,66.6,0.99,0.0,50.8,41.73,-0.44,0.0,ball_2
25.55,87.17,0.88,0.0,98.34,80.95,0.51,0.0,ball_2
66.79,51.88,0.34,0.0,96.86,51.88,0.64,0.0,same
85.76,16.91,-0.55,0.0,21.21,25.14,-0.55,0.0,ball_1
1.03,89.17,0.58,0.0,1.3,27.22,-0.61,0.0,ball_2
71.21,11.03,0.58,0.0,64.98,33.39,-0.07,0.0,ball_1
64.57,76.4,-0.62,0.0,64.29,76.4,0.39,0.0,same
79.96,29.72,0.98,0.0,0.13,29.72,-0.06,0.0,same
3.63,22.52,-0.97,0.0,66.0,0.45,0.5,0.0,ball_2
35.62,29.21,-0.04,0.0,44.08,64.22,0.72,0.0,ball_1
73.41,0.9,-0.22,0.0,54.56,93.52,0.66,0.0,ball_1
57.98,96.14,-0.3,0.0,78.39,25.58,0.05,0.0,ball_2
2.33,43.51,-0.06,0.0,63.88,21.5,0.45,0.0,ball_2
85.19,42.47,-0.63,0.0,84.07,48.37,0.78,0.0,ball_1
19.57,55.37,-0.88,0.0,46.23,66.07,-0.41,0.0,ball_1
90.15,87.95,0.44,0.0,23.59,26.16,0.2,0.0,ball_2
37.66,25.11,-0.83,0.0,94.09,25.11,0.4,0.0,same
88.8,77.35,0.42,0.0,0.56,70.17,0.23,0.0,ball_2
30.36,56.38,-0.66,0.0,47.4,56.38,-0.64,0.0,same
1.07,42.18,0.51,0.0,51.83,26.56,-0.14,0.0,ball_2
64.05,41.81,0.86,0.0,88.6,70.96,0.11,0.0,ball_1
21.19,46.89,0.15,0.0,16.09,70.23,0.03,0.0,ball_1
19.87,92.24,0.39,0.0,99.25,95.05,0.87,0.0,ball_1
90.3,72.98,-0.38,0.0,56.18,72.98,-0.44,0.0,same
93.04,91.79,-0.89,0.0,55.54,91.79,0.99,0.0,same
5.15,67.3,0.07,0.0,27.86,70.11,0.06,0.0,ball_1
58.71,45.52,-0.15,0.0,7.43,70.95,-0.02,0.0,ball_1
94.07,45.31,-0.68,0.0,98.97,45.31,0.13,0.0,same
0.87,1.51,0.41,0.0,16.32,1.51,0.46,0.0,same
