t_0,x_0,y_0,dx_0,dy_0,t_1,x_1,y_1,dx_1,dy_1
0,71.04,22.74,0,0.65,6,71.04,25.14,0,0.05
0,79.14,1.45,0,-0.72,2,79.14,0.0,0,0.0
0,64.02,19.46,0,0.79,2,64.02,20.94,0,0.59
0,90.55,88.24,0,-0.8,6,90.55,81.94,0,-1.4
0,85.43,51.67,0,-0.86,5,85.43,46.37,0,-1.36
0,97.55,11.62,0,-0.18,6,97.55,9.04,0,-0.78
0,33.84,33.3,0,0.39,2,33.84,33.98,0,0.19
0,75.49,76.09,0,0.61,5,75.49,78.14,0,0.11
0,18.93,84.16,0,0.89,6,18.93,88.0,0,0.29
0,42.9,76.71,0,0.72,4,42.9,78.99,0,0.32
0,0.24,12.01,0,0.74,3,0.24,13.93,0,0.44
0,6.19,32.31,0,-0.51,4,6.19,29.67,0,-0.91
0,40.46,92.66,0,0.98,2,40.46,94.52,0,0.78
0,32.59,67.28,0,0.98,5,32.59,71.18,0,0.48
0,96.74,12.16,0,-0.09,4,96.74,11.2,0,-0.49
0,84.29,43.66,0,-0.03,5,84.29,42.51,0,-0.53
0,29.4,50.61,0,0.34,2,29.4,51.19,0,0.14
0,72.04,48.8,0,-0.88,2,72.04,46.94,0,-1.08
0,14.35,82.02,0,-0.76,6,14.35,75.96,0,-1.36
0,4.61,4.45,0,0.15,2,4.61,4.65,0,-0.05
0,8.85,59.12,0,0.69,3,8.85,60.89,0,0.39
0,57.55,38.59,0,0.04,4,57.55,38.15,0,-0.36
0,59.93,50.74,0,0.01,3,59.93,50.47,0,-0.29
0,87.37,7.52,0,-0.47,4,87.37,5.04,0,-0.87
0,6.01,9.1,0,-0.01,1,6.01,9.09,0,-0.11
0,80.89,35.09,0,0.9,4,80.89,38.09,0,0.5
0,9.87,11.97,0,0.01,4,9.87,11.41,0,-0.39
0,71.78,9.1,0,-0.93,4,71.78,4.78,0,-1.33
0,64.38,68.68,0,0.87,3,64.38,70.99,0,0.57
0,59.12,72.13,0,0.02,4,59.12,71.61,0,-0.38
0,78.86,95.68,0,-0.87,6,78.86,88.96,0,-1.47
0,15.76,68.9,0,-0.13,2,15.76,68.54,0,-0.33
0,31.89,31.73,0,0.73,6,31.89,34.61,0,0.13
0,39.13,26.51,0,-0.71,6,39.13,20.75,0,-1.31
0,45.37,5.15,0,0.13,3,45.37,5.24,0,-0.17
0,9.69,95.21,0,0.48,2,9.69,96.07,0,0.28
0,50.48,87.51,0,0.01,4,50.48,86.95,0,-0.39
0,96.59,17.96,0,-0.32,1,96.59,17.64,0,-0.42
0,55.51,50.2,0,-0.2,1,55.51,50.0,0,-0.3
0,68.46,44.46,0,-0.88,5,68.46,39.06,0,-1.38
0,93.27,18.14,0,-0.96,6,93.27,10.88,0,-1.56
0,51.31,17.59,0,0.61,3,51.31,19.12,0,0.31
0,16.15,76.9,0,0.37,6,16.15,77.62,0,-0.23
0,65.77,17.29,0,0.27,4,65.77,17.77,0,-0.13
0,90.43,93.34,0,0.35,2,90.43,93.94,0,0.15
0,50.89,86.15,0,-0.83,5,50.89,81.0,0,-1.33
0,37.46,87.28,0,-0.22,1,37.46,87.06,0,-0.32
0,84.36,5.16,0,0.28,6,84.36,5.34,0,-0.32
0,45.52,86.18,0,0.62,2,45.52,87.32,0,0.42
0,97.05,25.28,0,-0.21,2,97.05,24.76,0,-0.41
0,75.62,5.32,0,-0.15,6,75.62,2.92,0,-0.75
0,53.29,2.81,0,0.77,3,53.29,4.82,0,0.47
0,0.15,19.08,0,0.11,3,0.15,19.11,0,-0.19
0,80.99,82.54,0,-0.04,5,80.99,81.34,0,-0.54
0,57.6,8.52,0,-0.81,2,57.6,6.8,0,-1.01
0,70.1,77.05,0,0.68,3,70.1,78.79,0,0.38
0,27.6,62.33,0,0.45,4,27.6,63.53,0,0.05
0,88.56,95.54,0,0.94,5,88.56,99.24,0,0.44
0,87.23,27.66,0,-0.36,6,87.23,24.0,0,-0.96
0,16.75,59.43,0,-0.04,3,16.75,59.01,0,-0.34
0,71.85,8.23,0,-0.44,3,71.85,6.61,0,-0.74
0,90.12,5.87,0,0.76,1,90.12,6.63,0,0.66
0,74.31,78.93,0,0.87,1,74.31,79.8,0,0.77
0,55.65,8.98,0,0.09,1,55.65,9.07,0,-0.01
0,87.31,85.68,0,-0.99,2,87.31,83.6,0,-1.19
0,74.87,25.55,0,0.56,1,74.87,26.11,0,0.46
0,73.39,94.55,0,0.77,1,73.39,95.32,0,0.67
0,38.29,62.9,0,-0.16,2,38.29,62.48,0,-0.36
0,56.99,41.03,0,-0.99,5,56.99,35.08,0,-1.49
0,24.32,43.13,0,-0.64,6,24.32,37.79,0,-1.24
0,52.58,58.72,0,0.51,3,52.58,59.95,0,0.21
0,45.58,4.79,0,0.89,4,45.58,7.75,0,0.49
0,19.97,76.68,0,-0.22,1,19.97,76.46,0,-0.32
0,92.75,90.25,0,0.26,4,92.75,90.69,0,-0.14
0,80.04,10.49,0,-0.67,2,80.04,9.05,0,-0.87
0,81.96,44.65,0,0.23,3,81.96,45.04,0,-0.07
0,18.9,21.93,0,-0.22,5,18.9,19.83,0,-0.72
0,56.49,57.01,0,0.36,5,56.49,57.81,0,-0.14
0,62.88,44.75,0,0.86,3,62.88,47.03,0,0.56
