x,y
-1.36,0.205
7.87,-0.0162
-1.69,-0.1198
-8.88,-0.8528
-5.26,0.5177
-9.91,-0.8863
5.1,0.3792
-8.25,-0.3889
-6.44,0.987
6.46,0.9841
8.27,-0.4007
5.79,0.8822
5.26,0.5218
9.02,-0.9202
3.78,-0.8031
8.42,-0.5324
-8.82,-0.8203
2.17,-0.5607
8.81,-0.8147
-6.78,0.8801
-5.39,0.6257
-3.98,-0.6723
-1.99,-0.4067
-9.57,-0.9896
-7.86,-0.0099
-6.77,0.8834
2.68,-0.8969
-1.05,0.5009
8.99,-0.9073
-6.91,0.8083
-4.29,-0.4082
-0.29,0.9582
-7.32,0.5062
-1.43,0.1419
-9.89,-0.8922
7.95,-0.0981
9.65,-0.9758
-4.81,0.0988
-6.69,0.9171
-1.11,0.4474
6.94,0.7921
-4.3,-0.3994
-9.59,-0.9866
-7.87,-0.0146
-8.45,-0.5631
6.7,0.9152
-9.25,-0.9845
9.4,-0.9996
5.27,0.5265
6.14,0.9901
9.53,-0.9941
-8.14,-0.2802
4.89,0.1778
0.61,0.8209
-9.29,-0.9915
8.67,-0.725
-8.78,-0.8022
-4.06,-0.6041
3.47,-0.9463
7.97,-0.1148
1.12,0.4385
9.03,-0.9248
-0.08,0.9967
-0.45,0.902
-3.36,-0.9752
-8.71,-0.7528
-6.99,0.7608
4.79,0.0821
-7.27,0.5542
4.03,-0.6312
-7.24,0.5788
-3.57,-0.909
5.12,0.3991
-0.89,0.6267
6.07,0.9773
7.31,0.5156
-8.95,-0.888
8.34,-0.4628
-4.58,-0.1312
0.29,0.9586
8.95,-0.8911
1.78,-0.2032
-8.08,-0.2233
8.87,-0.8502
-8.37,-0.4936
1.67,-0.0958
9.47,-0.9988
-5.53,0.7277
-8.92,-0.8743
-7.65,0.2045
-3.12,-0.9997
-7.68,0.169
-2.3,-0.6666
1.44,0.1349
-3.04,-0.9944
-0.24,0.9703
-1.91,-0.3332
-0.79,0.7024
-0.3,0.9553
-0.82,0.6811
-9.17,-0.9667
-4.19,-0.4977
-9.76,-0.9436
8.95,-0.8907
3.74,-0.8263
5.0,0.2795
3.34,-0.9801
-4.42,-0.2868
-7.09,0.6909
-8.2,-0.3361
-2.55,-0.8319
0.09,0.9963
2.67,-0.8913
-1.27,0.2965
9.36,-0.998
-2.24,-0.62
5.84,0.905
1.97,-0.3927
-8.64,-0.706
9.77,-0.9405
3.18,-0.9993
-7.1,0.6851
-0.47,0.8926
-5.62,0.7875
0.71,0.7558
1.41,0.1631
-3.6,-0.8963
-0.6,0.824
8.93,-0.878
-6.12,0.9863
3.67,-0.8649
-7.65,0.1998
-3.11,-0.9995
-3.62,-0.8893
3.32,-0.9848
5.46,0.6779
-2.78,-0.9365
-7.44,0.4033
7.18,0.6225
-2.21,-0.5935
6.46,0.9846
-8.32,-0.4511
-0.36,0.9357
-5.37,0.6106
-7.27,0.5536
0.6,0.8274
9.27,-0.9876
4.03,-0.6296
-6.54,0.9665
8.68,-0.7369
5.1,0.375
-9.1,-0.9473
-4.76,0.0475
3.9,-0.7281
8.26,-0.3917
-7.8,0.0566
-8.57,-0.657
-8.01,-0.1525
6.94,0.7895
3.18,-0.9993
4.23,-0.4667
4.47,-0.2369
-1.72,-0.1502
-6.65,0.9332
-2.65,-0.883
1.32,0.2467
5.16,0.4354
6.08,0.9793
5.68,0.8242
2.02,-0.4376
5.6,0.7753
9.34,-0.9967
-4.28,-0.4235
-4.11,-0.5639
3.04,-0.9952
-4.89,0.1736
1.88,-0.3048
-2.39,-0.7332
-4.16,-0.5265
4.69,-0.0198
-7.61,0.2376
1.74,-0.1651
7.5,0.3449
5.47,0.6873
-1.03,0.5149
-7.02,0.7373
-6.22,0.998
0.63,0.8097
9.0,-0.9106
-4.85,0.1368
-6.23,0.9983
5.63,0.7925
7.09,0.6895
6.83,0.8525
1.66,-0.0891
-5.29,0.5492
9.41,-0.9998
6.41,0.9917
-7.28,0.5402
-1.93,-0.3539
0.02,0.9999
7.08,0.7001
7.21,0.6018
2.95,-0.9826
-4.18,-0.5089
4.23,-0.4653
-6.04,0.9707
9.7,-0.9622
-2.19,-0.5813
7.32,0.5117
7.46,0.3881
4.87,0.1555
-1.27,0.3006
1.15,0.4111
-6.27,0.9999
-2.6,-0.8577
-6.47,0.9823
-2.83,-0.952
9.67,-0.9694
1.91,-0.3296
-2.52,-0.8129
0.53,0.8627
-4.44,-0.2686
-4.53,-0.1785
4.29,-0.4136
3.83,-0.7752
6.61,0.9479
9.98,-0.8485
3.65,-0.8742
9.63,-0.9793
2.74,-0.9208
-9.0,-0.9106
8.82,-0.8229
-0.23,0.974
0.66,0.7915
-3.32,-0.9849
6.75,0.8921
-6.98,0.7669
-0.49,0.884
-1.31,0.2538
7.29,0.537
8.54,-0.6324
-2.09,-0.4986
-0.62,0.814
8.22,-0.3614
-8.01,-0.1603
-5.85,0.9083
2.9,-0.9718
-5.3,0.5534
6.71,0.9105
1.92,-0.3464
-1.28,0.2834
3.56,-0.9141
-8.1,-0.2451
0.79,0.7069
-9.6,-0.9839
3.47,-0.9457
-3.25,-0.9942
9.37,-0.9984
-7.75,0.1003
3.34,-0.9795
-8.75,-0.7799
-0.29,0.9579
1.9,-0.3243
4.34,-0.3631
-0.53,0.862
-0.56,0.8463
8.55,-0.64
-9.67,-0.9701
6.45,0.9865
-5.15,0.4272
-4.01,-0.6478
-1.62,-0.0458
-1.05,0.5016
-9.85,-0.9092
-6.67,0.926
1.52,0.049
-1.96,-0.3758
0.83,0.6767
-7.24,0.5754
0.58,0.8388
-3.18,-0.9992
7.9,-0.0464
8.3,-0.4276
2.95,-0.9818
6.6,0.9504
-9.84,-0.9134
8.33,-0.4547
-5.69,0.8271
3.59,-0.9027
8.67,-0.7315
7.53,0.3201
3.24,-0.9952
-1.9,-0.3273
-6.57,0.9603
5.42,0.6484
-1.03,0.518
3.79,-0.799
6.0,0.9612
-2.64,-0.8771
-5.82,0.8958
-7.33,0.5012
-0.8,0.6936
-4.7,-0.0165
-3.8,-0.794
-0.6,0.8269
-0.53,0.8605
2.42,-0.7493
-7.27,0.5487
-3.29,-0.9883
-5.82,0.8965
-8.61,-0.6872
-3.41,-0.9637
1.58,-0.0053
0.31,0.9523
6.14,0.9905
-8.78,-0.7967
-4.37,-0.3329
-5.34,0.5898
1.72,-0.146
7.71,0.1474
1.62,-0.0474
-6.8,0.8698
-1.68,-0.1115
-9.87,-0.9029
6.88,0.8289
3.31,-0.9851
-5.61,0.7793
7.87,-0.0156
3.62,-0.8857
-4.55,-0.1584
1.43,0.1356
-0.39,0.926
-5.73,0.8518
2.11,-0.5146
0.76,0.7219
4.67,-0.0409
-1.18,0.379
5.63,0.7925
-2.97,-0.9849
8.11,-0.2504
7.88,-0.0262
-3.97,-0.6728
5.45,0.6691
8.51,-0.6064
-8.89,-0.8608
-2.87,-0.963
-0.56,0.8453
9.98,-0.8522
-5.37,0.6115
4.78,0.0686
1.63,-0.0613
-6.47,0.9821
-4.42,-0.288
-1.36,0.2135
-3.95,-0.693
8.12,-0.2601
-1.26,0.3012
1.19,0.368
-2.15,-0.5485
-4.81,0.1
-2.49,-0.796
-2.18,-0.5714
9.19,-0.9716
-3.57,-0.9092
-5.76,0.8653
5.02,0.3075
-8.14,-0.2796
8.99,-0.9082
7.59,0.2637
2.83,-0.953
-4.42,-0.2864
1.35,0.2236
-4.52,-0.1878
-5.46,0.6784
9.93,-0.8731
-0.85,0.6589
-2.26,-0.6384
1.33,0.2429
0.38,0.9299
6.79,0.8731
5.44,0.6619
-6.77,0.8819
