x,y
-3.65,-0.3931
-4.24,0.4327
8.94,-0.4167
-0.73,0.0732
8.45,0.2653
-6.79,0.3876
-4.29,0.5003
4.46,-1.2199
-8.56,-1.4097
4.25,-1.3389
5.32,-0.2569
-7.5,-0.5928
-5.54,1.4127
-7.96,-1.1017
-2.9,-1.2096
2.82,-0.6369
-0.97,-0.2629
-6.38,0.9005
3.23,-1.086
5.17,-0.4598
-6.35,0.93
-8.66,-1.4139
-8.42,-1.381
-7.81,-0.9602
0.06,1.061
1.69,0.8787
-8.82,-1.392
-7.51,-0.6039
7.09,1.4138
-0.65,0.1918
-0.5,0.4045
-6.41,0.8701
9.99,-1.3805
-6.25,1.0368
-0.37,0.5757
-0.11,0.8798
1.55,1.0176
-9.43,-0.995
-8.54,-1.4069
0.54,1.3718
3.02,-0.8679
-2.01,-1.3326
-1.7,-1.1165
8.76,-0.1763
5.84,0.4796
-7.22,-0.2152
6.19,0.9047
-1.02,-0.3244
-8.45,-1.3902
-5.15,1.3306
-3.47,-0.6222
-3.13,-1.0098
-1.48,-0.9079
9.4,-0.9787
9.54,-1.106
6.71,1.3235
5.6,0.1422
-8.21,-1.2873
1.8,0.7493
8.27,0.5113
5.13,-0.5046
-3.52,-0.5655
-9.04,-1.3036
-4.65,0.9317
-0.38,0.5641
3.23,-1.0883
-4.77,1.058
-1.82,-1.2184
-8.5,-1.4009
1.91,0.6128
-7.06,0.0065
1.24,1.2675
-9.68,-0.7096
-0.34,0.6113
6.15,0.8636
8.34,0.4172
-2.22,-1.4012
-2.77,-1.2946
-8.02,-1.151
9.83,-1.3158
-0.31,0.6473
-9.84,-0.5105
-2.87,-1.234
-6.3,0.986
0.14,1.13
-7.52,-0.616
-8.6,-1.4133
0.5,1.3581
5.27,-0.3259
2.21,0.2042
8.76,-0.1743
4.57,-1.1296
3.27,-1.1221
1.31,1.2245
-3.95,0.0295
-0.01,0.9878
9.41,-0.9861
-3.48,-0.617
-1.74,-1.1565
6.58,1.2485
-2.3,-1.4122
-5.23,1.3651
-1.8,-1.2004
4.45,-1.2248
-2.51,-1.3985
-0.12,0.8682
-2.4,-1.4127
8.95,-0.4302
5.19,-0.4328
5.74,0.3411
0.94,1.3974
7.3,1.3752
4.17,-1.373
-4.04,0.1633
-0.39,0.5403
7.65,1.1839
-0.86,-0.1042
-1.18,-0.5455
-0.43,0.496
0.78,1.4142
0.18,1.16
2.71,-0.4871
9.42,-0.995
-5.03,1.2607
1.31,1.2239
-4.11,0.2537
5.37,-0.1856
4.17,-1.3718
