x,y
-2.69,2.4281
-5.38,-3.3115
8.63,-6.0784
-8.38,4.2083
9.46,-9.4573
1.46,0.1632
-1.65,0.1298
9.73,-9.2872
-7.28,-3.9806
8.15,-2.3544
-9.71,9.325
5.92,5.5364
-3.68,3.1568
-7.12,-4.7696
-3.43,3.2883
1.97,-0.7723
4.0,-2.6065
5.28,2.8443
2.26,-1.4366
7.9,-0.3983
-9.98,8.4642
3.87,-2.8817
-2.13,1.1238
3.1,-3.1023
5.86,5.3588
-7.02,-5.2058
-9.86,8.9376
-2.77,2.5791
4.63,-0.3871
-0.79,-0.5566
6.79,5.9305
-9.18,8.9185
-0.14,-0.137
-0.91,-0.5582
-0.79,-0.5555
-6.73,-6.0679
3.48,-3.2832
-3.06,3.0508
-9.62,9.4343
3.21,-3.1994
-6.92,-5.5526
7.62,1.7454
-9.03,8.3475
8.8,-7.1408
-2.67,2.3878
0.21,0.2012
-2.97,2.9297
7.01,5.2564
-8.3,3.6065
-6.85,-5.7885
4.13,-2.2819
0.87,0.561
-2.44,1.8674
-1.69,0.2016
2.35,-1.6481
-8.76,6.8924
-4.77,-0.2955
-1.27,-0.3768
1.67,-0.1687
-7.08,-4.9649
8.27,-3.3047
-1.01,-0.537
4.92,1.023
8.8,-7.1267
8.6,-5.85
-7.58,-2.0669
3.7,-3.1403
-7.1,-4.8554
7.05,5.0899
-6.88,-5.7016
-5.23,-2.5789
7.21,4.3237
9.66,-9.3882
-2.19,1.2683
6.19,6.1686
-4.85,-0.6808
-8.01,1.2475
-0.69,-0.5308
-7.96,0.8399
-2.1,1.0594
8.4,-4.3908
-2.98,2.9467
-2.93,2.8606
-8.56,5.5709
3.66,-3.1782
6.5,6.3457
6.42,6.3604
-3.08,3.0714
-6.24,-6.233
-2.32,1.5831
9.99,-8.4348
-8.74,6.7855
-5.47,-3.7612
5.0,1.4026
-1.31,-0.3359
-2.4,1.7692
-8.97,8.0513
8.89,-7.668
0.22,0.2136
-6.19,-6.1596
2.56,-2.142
2.15,-1.1838
-5.21,-2.4861
-1.81,0.4259
7.68,1.2981
-5.49,-3.8505
-3.51,3.2737
-5.7,-4.7431
3.68,-3.1614
-2.42,1.8091
-9.02,8.3092
-8.86,7.4788
4.24,-1.9427
-4.61,0.4513
-5.27,-2.7898
-7.2,-4.382
7.53,2.4131
-7.86,0.0215
4.32,-1.6364
9.59,-9.4621
8.58,-5.7215
-2.66,2.3668
-6.16,-6.1083
0.15,0.1468
0.24,0.2309
-1.68,0.1745
3.26,-3.2392
8.77,-6.9695
-7.94,0.6869
0.81,0.5581
-2.69,2.4215
3.65,-3.1917
8.58,-5.7035
-1.92,0.6633
4.5,-0.9594
-3.8,3.0004
7.13,4.7136
-2.58,2.1739
-9.99,8.4491
1.11,0.4962
-2.15,1.1881
-7.12,-4.7796
-9.02,8.2944
0.33,0.3114
-7.3,-3.8399
6.1,5.9959
6.61,6.2573
9.39,-9.3814
6.87,5.711
-3.87,2.8956
-6.39,-6.3545
-2.92,2.8564
-2.87,2.7644
1.87,-0.5578
-1.85,0.5177
-8.72,6.6678
-1.29,-0.3607
7.37,3.4223
5.01,1.4666
6.1,6.0072
0.88,0.5607
-2.82,2.6663
-4.28,1.7896
-8.92,7.8218
7.7,1.1711
4.8,0.4374
-9.69,9.3545
2.37,-1.6924
1.04,0.5258
-7.84,-0.1286
5.93,5.5497
1.85,-0.5099
-0.95,-0.5527
0.53,0.4597
-0.35,-0.3291
-4.32,1.6633
4.14,-2.2439
9.79,-9.1346
-10.0,8.4027
0.62,0.5037
-8.97,8.0374
-4.81,-0.4751
3.92,-2.7811
-6.42,-6.3601
3.37,-3.2834
-2.86,2.7523
-5.89,-5.4349
0.3,0.2861
1.1,0.4987
6.82,5.8598
2.18,-1.2411
7.33,3.6814
-8.83,7.3101
-1.04,-0.5276
6.63,6.2324
-8.75,6.8457
-0.61,-0.4989
3.86,-2.9022
4.09,-2.3946
8.87,-7.516
-7.23,-4.2057
8.29,-3.4825
-5.95,-5.6257
-2.54,2.0957
3.72,-3.1133
7.09,4.919
8.25,-3.1952
7.9,-0.3716
0.87,0.561
5.69,4.6992
-3.24,3.2246
-4.73,-0.0883
-9.16,8.8256
-9.79,9.1496
1.01,0.537
