x,y
-7.42,6.7436
-6.87,3.8079
-6.52,1.5003
4.54,-4.4679
7.56,7.238
7.99,7.9161
8.44,7.0135
4.74,-4.7352
1.06,0.9204
-0.04,0.0016
-3.05,0.2695
3.51,-1.2742
9.23,1.7831
-4.78,-4.7691
-1.25,1.184
-8.8,5.1734
-7.64,7.4657
-6.09,-1.1808
-1.08,0.9509
-5.12,-4.7021
-4.16,-3.5264
-2.5,1.4898
-4.39,-4.155
0.5,0.2435
-1.55,1.5488
-3.02,0.3599
8.49,6.8258
-1.86,1.7844
6.17,-0.6953
4.65,-4.6438
-2.42,1.5953
7.36,6.4949
9.54,-1.0766
9.36,0.6442
0.87,0.6598
-1.15,1.0497
-2.19,1.7825
4.25,-3.8095
-6.91,4.0698
5.98,-1.7896
-0.75,0.5168
1.98,1.8165
-0.12,0.0134
-0.31,0.0936
-3.32,-0.584
6.42,0.8991
-3.9,-2.6733
-1.2,1.1244
4.62,-4.6071
1.43,1.4181
-4.1,-3.3501
-9.43,-0.0624
-8.59,6.3816
-2.22,1.7692
0.43,0.1761
2.63,1.296
8.02,7.908
4.66,-4.6525
-1.71,1.6945
-3.16,-0.0717
5.01,-4.7888
7.42,6.7402
6.17,-0.6813
9.78,-3.3792
7.01,4.6623
8.71,5.7039
-4.8,-4.7813
7.41,6.6825
-5.22,-4.5671
-2.7,1.1564
9.07,3.171
-8.94,4.1343
-9.01,3.6181
-8.23,7.6471
-4.25,-3.7918
-2.01,1.8191
-1.89,1.7948
-2.59,1.3579
-1.6,1.6018
-5.57,-3.6516
-1.25,1.1877
-5.42,-4.1187
9.13,2.6595
3.85,-2.4994
9.01,3.6465
9.3,1.112
-7.88,7.88
-0.74,0.4969
-7.74,7.6975
-4.36,-4.0957
-7.55,7.188
9.89,-4.4668
8.71,5.7183
-0.9,0.7047
2.99,0.4571
-7.87,7.8712
-3.7,-1.9782
-2.88,0.7423
-4.36,-4.0849
-7.33,6.3542
2.92,0.6403
-1.37,1.3395
-4.46,-4.3154
-7.33,6.3468
-4.58,-4.532
4.86,-4.8077
-1.29,1.2394
-6.87,3.8179
-4.04,-3.1676
-5.46,-4.0183
4.62,-4.596
-5.38,-4.236
-7.35,6.4435
3.49,-1.2059
-0.74,0.4977
-6.89,3.9401
3.36,-0.7182
2.24,1.758
-7.92,7.9042
-7.98,7.9167
-2.29,1.7247
-9.77,-3.327
-4.23,-3.7532
-0.68,0.4299
6.91,4.0739
-4.29,-3.9155
-7.33,6.3329
0.18,0.0321
6.01,-1.6472
-8.22,7.6759
2.15,1.7984
6.5,1.4305
-9.89,-4.4578
-4.43,-4.2448
-9.5,-0.7362
-3.13,0.0294
0.19,0.0351
4.27,-3.8637
-3.72,-2.0496
-9.19,2.1597
2.66,1.2406
4.98,-4.8021
-1.9,1.7966
-4.07,-3.2558
0.27,0.074
-1.53,1.5323
2.12,1.8079
-7.47,6.92
5.84,-2.5158
-3.69,-1.9218
3.41,-0.907
5.97,-1.8161
5.14,-4.6771
2.3,1.7113
-3.96,-2.9082
-9.72,-2.8576
-4.78,-4.7689
6.3,0.0815
9.2,2.0502
4.29,-3.9079
5.39,-4.197
-9.97,-5.1288
0.51,0.2456
0.7,0.4522
-4.43,-4.256
-1.45,1.4384
3.63,-1.7122
7.85,7.851
-6.33,0.2994
-6.95,4.2997
9.59,-1.5951
-9.49,-0.6414
9.46,-0.3544
1.81,1.7572
-0.2,0.0415
3.2,-0.1738
-5.62,-3.4705
4.92,-4.8144
8.78,5.2716
-6.61,2.1314
-3.52,-1.3174
5.6,-3.5315
-1.96,1.813
3.42,-0.9428
5.29,-4.4399
-2.18,1.788
-8.49,6.8276
5.44,-4.0763
-4.58,-4.5397
9.58,-1.5226
-5.82,-2.5789
9.04,3.4014
4.84,-4.8001
-6.81,3.4273
0.51,0.2529
8.49,6.8179
-0.41,0.1651
5.9,-2.1842
-1.02,0.8735
-4.33,-4.0046
9.87,-4.2181
-1.4,1.3742
8.09,7.8702
-7.7,7.6182
6.57,1.8495
8.17,7.7584
2.84,0.8485
-3.64,-1.733
-0.32,0.1005
-6.68,2.6127
6.6,2.0344
-7.43,6.7582
2.61,1.3161
4.29,-3.9022
0.97,0.7992
8.04,7.9021
7.17,5.5556
-4.69,-4.6926
5.2,-4.5887
-4.65,-4.6347
-9.46,-0.3026
9.94,-4.8615
-2.06,1.8179
6.54,1.6863
0.61,0.348
8.7,5.7764
9.26,1.4877
-0.64,0.3828
8.28,7.5509
-8.88,4.5826
-7.9,7.8911
3.04,0.3186
-0.6,0.3354
-4.82,-4.7931
-2.86,0.7998
-7.98,7.9167
1.79,1.7464
-1.38,1.359
-4.66,-4.6505
-1.99,1.818
0.51,0.2484
-1.11,0.9961
-8.03,7.9067
-8.62,6.1901
-3.23,-0.2751
-5.03,-4.7787
-8.21,7.6984
4.29,-3.9178
8.49,6.8285
3.73,-2.0625
2.34,1.6817
-5.79,-2.7618
9.66,-2.2891
-9.21,2.0002
6.03,-1.4908
-0.26,0.0691
-4.62,-4.5968
-9.5,-0.6704
-3.11,0.096
2.88,0.7532
-1.81,1.759
-2.79,0.9628
5.92,-2.0937
1.45,1.4396
-8.23,7.6483
3.4,-0.8689
6.21,-0.4356
0.35,0.1193
-7.03,4.7912
0.57,0.3034
5.1,-4.7264
4.87,-4.8101
-0.13,0.0167
-2.01,1.8191
5.76,-2.8647
6.21,-0.4487
0.74,0.4956
-7.41,6.7065
1.31,1.265
5.71,-3.0891
-6.62,2.1962
-9.51,-0.8233
-6.32,0.2072
9.77,-3.2975
-6.49,1.3011
8.48,6.8848
-3.58,-1.5169
-6.44,0.994
-1.85,1.7791
-4.03,-3.1396
5.82,-2.6153
-9.98,-5.2957
4.33,-4.0275
-5.58,-3.6108
-5.55,-3.7267
-4.97,-4.8052
-8.19,7.7317
9.43,-0.0809
7.73,7.6782
-1.02,0.8628
8.94,4.146
0.72,0.4707
2.88,0.7541
-8.26,7.5881
2.73,1.0865
-0.82,0.5996
-2.88,0.7365
9.25,1.646
9.5,-0.7053
-9.21,1.9996
-3.46,-1.071
-1.72,1.6991
-0.34,0.1143
-3.06,0.2377
-4.14,-3.4777
-2.9,0.6976
-5.45,-4.0257
0.2,0.0415
3.2,-0.1724
-7.92,7.9024
9.21,1.9957
-6.7,2.7075
3.3,-0.5369
-5.76,-2.8965
6.1,-1.1015
9.03,3.5039
5.86,-2.4191
-5.9,-2.2019
-5.71,-3.0985
6.34,0.3526
-7.6,7.3672
0.56,0.3001
-0.3,0.0898
-8.87,4.688
7.49,7.0107
-9.81,-3.6927
6.0,-1.6697
3.94,-2.831
-0.43,0.1798
-6.08,-1.2145
-1.5,1.4937
4.01,-3.0698
7.75,7.7047
2.67,1.222
-2.22,1.7704
9.45,-0.2627
7.59,7.3123
-6.99,4.5498
8.7,5.7847
1.35,1.3215
4.21,-3.6891
1.63,1.6302
-2.43,1.5832
-6.19,-0.547
-3.76,-2.164
9.98,-5.276
0.88,0.6842
7.75,7.6999
-3.44,-0.9961
9.92,-4.7301
-3.57,-1.4726
-7.4,6.651
-5.47,-3.9887
-8.23,7.6574
-1.15,1.0468
-6.94,4.2608
-4.15,-3.5253
-1.44,1.4245
5.34,-4.3182
3.37,-0.7736
5.44,-4.0531
0.94,0.7574
2.05,1.8189
-8.48,6.879
3.43,-0.982
-4.68,-4.6825
6.26,-0.1214
0.74,0.4972
0.7,0.4475
5.92,-2.117
9.03,3.5088
-4.88,-4.812
2.14,1.8036
-4.72,-4.7217
-9.16,2.4118
3.31,-0.5453
-4.87,-4.8087
7.48,6.9767
7.83,7.8251
6.01,-1.6088
1.62,1.6164
0.54,0.2806
6.55,1.7524
-3.19,-0.1541
-3.89,-2.6573
-3.89,-2.6548
-5.02,-4.7849
-1.28,1.232
2.59,1.3629
3.62,-1.6583
6.9,3.9879
-7.43,6.7916
2.51,1.4857
8.11,7.849
6.6,2.0504
5.14,-4.6718
-5.1,-4.7198
0.64,0.3872
2.37,1.6527
-8.19,7.7317
4.56,-4.501
9.69,-2.5808
5.15,-4.6701
-5.34,-4.3292
7.51,7.0836
5.98,-1.7983
7.13,5.3535
-2.76,1.0332
-1.44,1.4286
-4.92,-4.8144
-4.15,-3.5015
-2.99,0.4529
4.25,-3.7908
1.64,1.639
0.89,0.6931
7.41,6.6799
-5.73,-3.0172
-3.55,-1.3918
-0.41,0.1632
5.72,-3.0622
-4.07,-3.2638
-5.33,-4.3497
4.0,-3.04
-2.42,1.5997
-0.03,0.0012
4.12,-3.4316
-4.39,-4.1629
5.27,-4.4643
-3.61,-1.6351
-6.86,3.7671
4.65,-4.6426
-4.31,-3.9591
