t_0,x_0,y_0,dx_0,dy_0,t_1,x_1,y_1,dx_1,dy_1
0,80.94,96.39,0,-0.96,3,80.94,93.21,0,-1.26
0,13.71,45.09,0,0.91,5,13.71,48.64,0,0.41
0,16.0,51.98,0,-0.74,4,16.0,48.42,0,-1.14
0,15.09,7.65,0,-0.83,4,15.09,3.73,0,-1.23
0,13.73,95.32,0,0.72,4,13.73,97.6,0,0.32
0,1.72,78.1,0,0.1,6,1.72,77.2,0,-0.5
0,4.92,81.92,0,0.78,6,4.92,85.1,0,0.18
0,97.23,51.3,0,0.81,6,97.23,54.66,0,0.21
0,18.76,34.12,0,0.39,6,18.76,34.96,0,-0.21
0,72.6,8.22,0,-0.5,6,72.6,3.72,0,-1.1
0,3.95,93.43,0,-0.96,5,3.95,87.63,0,-1.46
0,68.61,17.17,0,-0.94,2,68.61,15.19,0,-1.14
0,73.76,13.7,0,-0.07,3,73.76,13.19,0,-0.37
0,10.62,45.47,0,0.14,2,10.62,45.65,0,-0.06
0,29.84,8.34,0,-0.64,1,29.84,7.7,0,-0.74
0,30.14,5.33,0,0.45,2,30.14,6.13,0,0.25
0,98.38,92.33,0,-0.55,4,98.38,89.53,0,-0.95
0,54.23,75.19,0,-0.37,3,54.23,73.78,0,-0.67
0,43.6,63.74,0,-0.48,6,43.6,59.36,0,-1.08
0,60.71,54.37,0,-0.21,3,60.71,53.44,0,-0.51
0,20.44,59.71,0,-0.55,6,20.44,54.91,0,-1.15
0,63.69,78.82,0,-0.86,6,63.69,72.16,0,-1.46
0,11.61,6.95,0,-0.31,3,11.61,5.72,0,-0.61
0,77.47,94.34,0,-0.99,3,77.47,91.07,0,-1.29
0,51.28,21.54,0,0.7,1,51.28,22.24,0,0.6
0,1.92,10.35,0,0.04,3,1.92,10.17,0,-0.26
0,7.45,76.37,0,-0.91,5,7.45,70.82,0,-1.41
0,6.09,1.24,0,-0.53,2,6.09,0.08,0,-0.73
0,12.64,59.53,0,0.82,4,12.64,62.21,0,0.42
0,25.95,7.15,0,-0.11,4,25.95,6.11,0,-0.51
0,32.15,13.62,0,0.56,5,32.15,15.42,0,0.06
0,46.46,97.49,0,0.94,6,46.46,101.63,0,0.34
0,92.12,20.94,0,-0.05,6,92.12,19.14,0,-0.65
0,43.19,5.91,0,0.56,3,43.19,7.29,0,0.26
0,13.77,97.57,0,0.1,3,13.77,97.57,0,-0.2
0,18.98,60.69,0,-0.53,1,18.98,60.16,0,-0.63
0,0.7,78.54,0,-0.1,1,0.7,78.44,0,-0.2
0,43.68,13.46,0,0.28,6,43.68,13.64,0,-0.32
0,46.51,62.3,0,0.25,3,46.51,62.75,0,-0.05
0,87.51,87.67,0,-0.72,3,87.51,85.21,0,-1.02
0,52.51,41.92,0,0.69,6,52.51,44.56,0,0.09
0,96.45,38.55,0,-0.52,1,96.45,38.03,0,-0.62
0,25.29,45.77,0,0.83,1,25.29,46.6,0,0.73
0,33.18,6.2,0,-0.36,1,33.18,5.84,0,-0.46
0,68.25,84.87,0,0.77,1,68.25,85.64,0,0.67
0,49.97,9.96,0,-0.17,1,49.97,9.79,0,-0.27
0,89.4,84.99,0,-0.88,4,89.4,80.87,0,-1.28
0,57.84,15.52,0,0.67,3,57.84,17.23,0,0.37
0,57.38,38.09,0,0.32,6,57.38,38.51,0,-0.28
0,19.37,26.45,0,0.56,5,19.37,28.25,0,0.06
0,13.21,71.22,0,-0.38,1,13.21,70.84,0,-0.48
0,64.48,71.87,0,0.28,6,64.48,72.05,0,-0.32
0,92.06,74.22,0,-0.04,1,92.06,74.18,0,-0.14
0,15.8,20.86,0,0.82,3,15.8,23.02,0,0.52
0,52.97,65.17,0,0.9,1,52.97,66.07,0,0.8
0,64.61,6.01,0,0.69,6,64.61,8.65,0,0.09
0,48.43,3.1,0,-0.8,2,48.43,1.4,0,-1.0
0,61.33,9.8,0,0.4,3,61.33,10.7,0,0.1
0,88.11,37.64,0,0.43,3,88.11,38.63,0,0.13
0,82.2,15.26,0,0.89,6,82.2,19.1,0,0.29
0,83.41,83.61,0,-0.7,5,83.41,79.11,0,-1.2
0,9.96,25.0,0,0.67,1,9.96,25.67,0,0.57
0,36.04,91.11,0,0.31,4,36.04,91.75,0,-0.09
0,33.53,80.97,0,0.2,6,33.53,80.67,0,-0.4
0,65.82,0.45,0,-0.49,1,65.82,0.0,0,0.0
0,92.83,51.44,0,-0.9,2,92.83,49.54,0,-1.1
0,9.58,15.24,0,0.57,6,9.58,17.16,0,-0.03
0,85.51,72.4,0,-0.57,6,85.51,67.48,0,-1.17
0,40.88,57.56,0,0.77,5,40.88,60.41,0,0.27
0,69.87,37.41,0,0.34,2,69.87,37.99,0,0.14
0,84.34,8.47,0,0.75,5,84.34,11.22,0,0.25
0,76.5,46.38,0,-0.59,4,76.5,43.42,0,-0.99
0,35.02,79.64,0,-0.88,4,35.02,75.52,0,-1.28
0,82.29,73.22,0,-0.75,4,82.29,69.62,0,-1.15
0,86.01,6.32,0,0.09,6,86.01,5.36,0,-0.51
0,57.73,3.47,0,0.39,4,57.73,4.43,0,-0.01
0,47.22,9.42,0,-0.85,4,47.22,5.42,0,-1.25
0,35.18,48.18,0,0.34,5,35.18,48.88,0,-0.16
0,68.33,88.66,0,0.41,4,68.33,89.7,0,0.01
0,17.28,10.7,0,-0.31,6,17.28,7.34,0,-0.91
0,38.45,36.16,0,-0.61,6,38.45,31.0,0,-1.21
0,12.33,53.69,0,-0.2,2,12.33,53.19,0,-0.4
0,43.49,97.79,0,0.99,3,43.49,100.46,0,0.69
0,61.47,54.89,0,0.61,3,61.47,56.42,0,0.31
0,19.45,11.02,0,0.3,6,19.45,11.32,0,-0.3
0,96.79,90.07,0,-0.44,4,96.79,87.71,0,-0.84
0,4.47,78.33,0,0.93,3,4.47,80.82,0,0.63
0,48.57,88.08,0,0.86,6,48.57,91.74,0,0.26
0,67.19,59.97,0,0.29,3,67.19,60.54,0,-0.01
0,19.86,2.69,0,-0.25,4,19.86,1.09,0,-0.65
0,53.28,23.55,0,0.91,5,53.28,27.1,0,0.41
0,12.5,42.49,0,-0.03,3,12.5,42.1,0,-0.33
0,74.11,44.66,0,-0.03,3,74.11,44.27,0,-0.33
0,83.54,39.28,0,-0.87,1,83.54,38.41,0,-0.97
0,34.25,22.66,0,-0.27,2,34.25,22.02,0,-0.47
0,69.08,92.19,0,0.86,3,69.08,94.47,0,0.56
0,87.14,31.34,0,-0.94,5,87.14,25.64,0,-1.44
0,67.54,83.57,0,-0.19,2,67.54,83.09,0,-0.39
0,80.72,93.28,0,-0.01,1,80.72,93.27,0,-0.11
0,46.93,50.59,0,-0.3,4,46.93,48.79,0,-0.7
0,41.17,57.86,0,-0.13,5,41.17,56.21,0,-0.63
0,10.77,98.07,0,0.6,3,10.77,99.57,0,0.3
0,96.41,21.6,0,0.86,3,96.41,23.88,0,0.56
0,21.08,5.7,0,-0.91,4,21.08,1.46,0,-1.31
0,52.53,48.28,0,-0.95,2,52.53,46.28,0,-1.15
0,32.92,97.04,0,-0.43,1,32.92,96.61,0,-0.53
0,25.79,21.18,0,-0.13,6,25.79,18.9,0,-0.73
0,75.22,18.6,0,0.5,2,75.22,19.5,0,0.3
