t_0,x_0,y_0,dx_0,dy_0,t_1,x_1,y_1,dx_1,dy_1
0,82.94,48.72,0,0.82,2,82.94,50.26,0,0.62
0,49.58,97.29,0,-0.11,2,49.58,96.97,0,-0.31
0,37.11,7.95,0,0.58,2,37.11,9.01,0,0.38
0,26.76,28.58,0,-0.74,2,26.76,27.0,0,-0.94
0,5.59,18.17,0,1.0,2,5.59,20.07,0,0.8
0,92.86,49.84,0,-0.09,2,92.86,49.56,0,-0.29
0,29.14,4.09,0,-0.97,2,29.14,2.05,0,-1.17
0,2.15,69.68,0,0.3,2,2.15,70.18,0,0.1
0,63.28,15.73,0,-0.73,2,63.28,14.17,0,-0.93
0,98.59,93.8,0,0.29,2,98.59,94.28,0,0.09
0,89.43,95.67,0,-0.98,2,89.43,93.61,0,-1.18
0,34.42,14.97,0,-0.66,2,34.42,13.55,0,-0.86
0,23.79,64.52,0,0.32,2,23.79,65.06,0,0.12
0,85.05,22.45,0,0.0,2,85.05,22.35,0,-0.2
0,70.99,33.68,0,-0.23,2,70.99,33.12,0,-0.43
0,29.05,81.12,0,0.53,2,29.05,82.08,0,0.33
0,77.22,47.55,0,0.05,2,77.22,47.55,0,-0.15
0,8.08,87.73,0,0.22,2,8.08,88.07,0,0.02
0,71.42,49.62,0,0.14,2,71.42,49.8,0,-0.06
0,2.61,73.43,0,-0.16,2,2.61,73.01,0,-0.36
0,53.8,22.33,0,-0.46,2,53.8,21.31,0,-0.66
0,62.38,30.68,0,0.14,2,62.38,30.86,0,-0.06
0,6.58,6.8,0,-0.05,2,6.58,6.6,0,-0.25
0,7.79,24.58,0,0.58,2,7.79,25.64,0,0.38
0,4.17,36.38,0,-0.05,2,4.17,36.18,0,-0.25
0,22.53,66.72,0,-0.28,2,22.53,66.06,0,-0.48
0,38.56,18.5,0,0.61,2,38.56,19.62,0,0.41
0,21.42,47.66,0,-0.12,2,21.42,47.32,0,-0.32
0,86.77,74.51,0,0.14,2,86.77,74.69,0,-0.06
0,4.21,25.71,0,0.91,2,4.21,27.43,0,0.71
0,24.36,6.01,0,0.5,2,24.36,6.91,0,0.3
0,17.89,17.01,0,0.91,2,17.89,18.73,0,0.71
0,2.37,83.88,0,-0.94,2,2.37,81.9,0,-1.14
0,18.86,71.7,0,0.13,2,18.86,71.86,0,-0.07
0,17.82,98.93,0,-0.98,2,17.82,96.87,0,-1.18
0,63.6,63.63,0,-0.23,2,63.6,63.07,0,-0.43
0,82.92,84.28,0,0.3,2,82.92,84.78,0,0.1
0,52.64,87.73,0,-0.77,2,52.64,86.09,0,-0.97
0,64.88,49.0,0,-0.19,2,64.88,48.52,0,-0.39
0,34.48,42.11,0,-0.88,2,34.48,40.25,0,-1.08
0,97.8,13.83,0,-0.24,2,97.8,13.25,0,-0.44
0,59.44,41.2,0,-0.16,2,59.44,40.78,0,-0.36
0,89.32,87.35,0,-0.06,2,89.32,87.13,0,-0.26
0,80.14,82.71,0,0.22,2,80.14,83.05,0,0.02
0,50.27,35.42,0,0.15,2,50.27,35.62,0,-0.05
0,0.68,9.31,0,0.63,2,0.68,10.47,0,0.43
0,7.77,52.55,0,-0.4,2,7.77,51.65,0,-0.6
0,63.21,15.05,0,0.16,2,63.21,15.27,0,-0.04
0,91.2,10.89,0,0.25,2,91.2,11.29,0,0.05
0,43.58,96.27,0,0.78,2,43.58,97.73,0,0.58
0,40.53,69.69,0,0.44,2,40.53,70.47,0,0.24
0,19.34,10.05,0,-0.19,2,19.34,9.57,0,-0.39
0,31.62,31.29,0,-0.63,2,31.62,29.93,0,-0.83
0,90.14,83.72,0,-0.18,2,90.14,83.26,0,-0.38
0,58.81,46.64,0,-0.54,2,58.81,45.46,0,-0.74
