x,y
-8.69,-0.6683
-2.86,-0.2748
7.75,0.9946
-5.01,0.9549
-7.86,-0.9999
1.02,0.853
6.89,0.5741
0.25,0.2451
4.69,-0.9998
7.38,0.8891
0.65,0.6035
7.43,0.91
-5.8,0.4643
4.36,-0.9372
5.52,-0.6945
-0.13,-0.1275
2.21,0.8053
6.35,0.0686
-0.31,-0.3096
8.56,0.7637
4.36,-0.9385
-7.87,-0.9999
4.21,-0.878
-9.14,-0.2789
-5.05,0.9433
7.81,0.9992
5.66,-0.5825
-9.45,0.0211
4.73,-0.9998
-4.85,0.9905
-1.98,-0.9159
7.88,0.9997
-4.88,0.9854
8.92,0.4856
5.31,-0.8248
1.16,0.9177
8.81,0.5731
9.52,-0.0963
3.88,-0.6713
8.84,0.5515
-4.91,0.9811
-5.43,0.7547
-0.21,-0.2093
7.46,0.9249
-0.93,-0.802
-5.46,0.7361
2.55,0.5568
-4.67,0.999
-1.32,-0.9695
9.31,0.1138
-0.24,-0.2386
2.35,0.7116
5.69,-0.5604
-8.29,-0.9058
2.76,0.3714
8.5,0.797
0.81,0.7254
1.56,1.0
-8.29,-0.9049
4.23,-0.8854
-0.82,-0.7283
9.83,-0.3912
-3.11,-0.0306
-0.61,-0.5718
-7.91,-0.9985
-1.25,-0.9479
0.81,0.7269
-1.81,-0.9712
-2.11,-0.8565
2.25,0.7778
-2.09,-0.868
6.23,-0.0532
8.3,0.9037
-8.29,-0.9073
-3.19,0.0477
9.96,-0.507
-9.88,0.4371
4.74,-0.9995
-3.87,0.6658
-9.41,-0.0124
-5.94,0.3406
-1.19,-0.9269
-9.27,-0.1528
8.94,0.4665
-9.54,0.113
-8.88,-0.5217
-5.47,0.7253
3.1,0.0459
7.04,0.6881
0.41,0.4001
-8.17,-0.9491
0.49,0.4742
-9.32,-0.1008
-3.74,0.5658
-5.98,0.3009
2.62,0.4965
4.25,-0.8965
3.3,-0.1618
-6.18,0.0984
3.44,-0.292
-9.1,-0.3161
8.39,0.8618
1.16,0.9185
-1.71,-0.9907
7.35,0.8763
-8.32,-0.893
-7.54,-0.9523
-2.55,-0.5597
-9.98,0.5252
4.58,-0.9914
-2.83,-0.3096
-7.55,-0.9551
-5.45,0.7393
-2.32,-0.7325
-0.81,-0.7275
-7.79,-0.9982
0.74,0.6762
8.43,0.8388
7.35,0.8747
0.81,0.7213
1.04,0.8641
-5.92,0.354
-0.92,-0.7984
-7.07,-0.7095
6.98,0.6398
-7.93,-0.9973
5.94,-0.3349
-2.97,-0.1673
-5.74,0.5183
6.68,0.39
-1.69,-0.9929
8.36,0.873
7.96,0.9945
-8.0,-0.99
-4.68,0.9993
9.14,0.2783
4.5,-0.9771
-3.51,0.3602
8.96,0.4466
-1.98,-0.9174
0.38,0.3702
-2.11,-0.8592
-5.65,0.5912
-6.64,-0.3459
-7.49,-0.9335
-6.2,0.0783
6.51,0.2294
6.73,0.429
2.15,0.8386
-1.65,-0.9967
-9.96,0.5073
7.0,0.6579
-2.64,-0.4801
5.83,-0.4347
-3.7,0.5327
8.85,0.5428
-2.87,-0.269
8.8,0.5858
0.98,0.8288
-7.21,-0.8024
6.1,-0.1853
-5.84,0.4286
-8.79,-0.5963
-5.46,0.7325
2.43,0.6518
-2.83,-0.3051
-9.63,0.2002
5.75,-0.507
-2.82,-0.3199
8.23,0.9288
7.24,0.8181
3.07,0.0719
-8.0,-0.9899
-0.22,-0.2157
9.16,0.2643
-4.06,0.7951
-8.88,-0.5213
0.49,0.4686
8.94,0.4662
6.84,0.5287
8.21,0.9373
8.15,0.9561
1.59,0.9999
-0.96,-0.8209
-3.28,0.1339
-8.38,-0.8661
0.23,0.232
-0.04,-0.0433
-2.22,-0.7965
1.69,0.9933
-1.97,-0.9226
-6.14,0.1396
2.69,0.4385
4.32,-0.9239
1.81,0.9706
9.13,0.2945
-6.86,-0.5493
-9.26,-0.1686
-8.27,-0.9139
1.09,0.8857
-5.88,0.3924
9.19,0.229
-9.68,0.2503
-1.42,-0.9879
-3.3,0.1598
-2.12,-0.8508
-9.33,-0.099
7.58,0.9633
-7.66,-0.9813
2.31,0.7373
-6.67,-0.3817
3.68,-0.5114
7.98,0.9917
-7.4,-0.8979
0.03,0.0253
9.55,-0.1295
-2.1,-0.8654
8.88,0.5172
8.92,0.481
5.46,-0.7336
-5.8,0.4674
0.05,0.0481
-0.53,-0.5033
-4.7,0.9999
-8.31,-0.8988
8.66,0.6897
0.66,0.6169
-9.51,0.0806
6.98,0.6411
-6.41,-0.127
-4.17,0.855
-1.9,-0.9474
5.27,-0.8474
1.97,0.9205
4.52,-0.9823
2.45,0.6398
-0.25,-0.2521
3.3,-0.162
1.53,0.9991
4.72,-1.0
2.11,0.8581
5.88,-0.3959
-2.97,-0.1752
0.09,0.0922
4.43,-0.96
1.24,0.9456
8.73,0.6429
3.41,-0.2634
8.3,0.9004
6.2,-0.0848
0.87,0.7623
-7.15,-0.7652
9.58,-0.1515
0.78,0.7058
-4.91,0.9808
-5.88,0.3928
-4.22,0.8828
9.8,-0.3634
-3.45,0.3064
-1.49,-0.9969
0.8,0.7175
-3.95,0.7246
5.59,-0.6406
9.16,0.2654
1.77,0.9804
8.49,0.8025
-7.0,-0.6589
-3.72,0.5467
-3.6,0.4469
-8.53,-0.7822
0.43,0.4177
5.32,-0.8183
3.17,-0.0257
-2.67,-0.4557
3.88,-0.672
8.98,0.4341
7.51,0.9406
3.2,-0.0536
-6.46,-0.1797
0.3,0.2976
3.59,-0.4348
7.87,0.9998
6.72,0.4198
8.01,0.9878
-2.14,-0.8429
-9.33,-0.0917
2.54,0.5664
5.78,-0.4855
2.42,0.6598
5.3,-0.8306
7.41,0.9014
3.08,0.0582
-8.87,-0.5301
-4.25,0.8944
6.98,0.6382
1.82,0.9702
3.34,-0.1983
4.36,-0.9393
4.17,-0.8584
-7.35,-0.8764
9.26,0.1607
-2.13,-0.8457
-1.42,-0.9879
0.7,0.6406
9.99,-0.5324
5.5,-0.7058
7.81,0.9992
0.02,0.0209
-4.51,0.9793
-9.1,-0.3156
-8.42,-0.8431
-2.96,-0.1844
-4.73,0.9998
3.41,-0.2695
8.33,0.8885
-7.18,-0.784
3.31,-0.1687
1.95,0.9304
-8.15,-0.9575
5.85,-0.4162
-3.18,0.0361
-3.8,0.6151
-1.92,-0.9385
9.81,-0.3803
4.62,-0.9961
-8.25,-0.9229
-2.22,-0.7993
8.82,0.5655
-1.99,-0.9132
-5.7,0.5478
6.14,-0.1403
7.6,0.9691
-4.72,1.0
8.96,0.4475
-1.79,-0.9753
-0.94,-0.8058
7.64,0.9772
3.48,-0.3335
8.08,0.9742
9.76,-0.3337
-5.21,0.8776
7.21,0.8
-3.82,0.6295
-2.7,-0.4295
-8.19,-0.945
3.87,-0.6631
0.65,0.6082
-8.0,-0.9888
3.25,-0.1065
4.58,-0.9918
-7.94,-0.9961
9.05,0.3701
-8.96,-0.4494
-8.1,-0.9693
9.94,-0.4933
1.26,0.9525
0.36,0.3545
0.86,0.761
-4.05,0.7859
2.07,0.8787
4.28,-0.9085
-3.97,0.7389
