x,y
5.29,-1.5175
-1.84,2.2533
6.44,7.3434
-3.55,1.8548
-7.49,4.332
-6.34,-5.9778
-3.78,0.78
-2.47,3.4706
-7.98,8.9146
-0.31,-0.2016
0.23,0.2741
-3.49,2.0996
5.44,-0.4433
-0.91,0.1534
9.99,-13.7775
5.91,3.3306
-6.34,-5.9427
-9.65,7.2398
4.89,-3.9326
-4.89,-5.6748
1.02,1.4069
9.32,-8.3325
8.48,1.943
-3.21,2.9845
-9.42,9.4814
7.57,9.3941
3.39,-4.1225
3.23,-3.4829
3.71,-5.1316
8.81,-2.1747
3.19,-3.3479
6.32,6.5307
-4.02,-0.5242
-9.64,7.3113
-2.39,3.3748
-7.98,8.9508
0.48,0.6511
-0.86,0.0854
-3.78,0.8068
-6.63,-4.0044
-4.52,-3.6002
-5.6,-7.8809
-4.69,-4.5731
-5.36,-7.5104
-0.96,0.2292
-4.11,-1.0455
-1.33,0.9729
-9.65,7.2739
-0.53,-0.1899
-1.17,0.6141
-2.39,3.3837
-1.23,0.7464
-9.28,10.5337
3.5,-4.4955
6.26,6.1261
1.68,1.4851
7.1,10.0358
8.5,1.6125
-6.24,-6.4883
-3.19,3.0404
2.79,-1.6385
-7.02,-0.5247
1.61,1.5482
0.6,0.8266
9.25,-7.5046
8.68,-0.5515
-0.34,-0.2069
-6.8,-2.5916
-8.23,10.6532
-3.29,2.7546
7.02,9.9178
3.8,-5.3358
6.77,9.1695
3.97,-5.6038
-1.25,0.7824
-9.89,4.4596
-3.31,2.7142
5.22,-2.0037
5.08,-2.9083
9.44,-9.5448
-4.57,-3.8903
-4.85,-5.49
7.93,7.2984
0.06,0.0653
6.02,4.2267
7.06,9.9808
-4.88,-5.6144
-7.91,8.3123
8.59,0.5673
-1.7,1.906
7.25,10.0869
5.93,3.5431
-2.21,3.1008
0.14,0.1615
-6.08,-7.1961
8.76,-1.5481
-8.23,10.6713
5.09,-2.8459
1.98,1.0373
-5.83,-7.7914
-7.79,7.2874
8.85,-2.6621
-0.74,-0.0451
3.53,-4.6079
-0.94,0.21
7.46,9.7554
-8.83,12.2583
-2.5,3.4986
-4.62,-4.1603
0.86,1.2143
-1.09,0.4619
-0.09,-0.0799
3.64,-4.9474
9.55,-10.6353
-2.25,3.1649
-8.8,12.2833
7.33,10.0141
6.71,8.8699
-8.58,12.1108
-6.59,-4.312
-7.42,3.607
-1.55,1.5102
5.55,0.4086
-3.63,1.4878
-6.14,-6.9331
-2.78,3.5824
-6.81,-2.4403
6.7,8.8335
5.39,-0.8075
-2.18,3.0264
-1.54,1.4841
0.48,0.6431
3.69,-5.0797
-1.23,0.7511
6.37,6.9227
8.31,3.762
5.32,-1.3277
3.28,-3.7087
3.26,-3.6278
1.24,1.5768
8.14,5.5348
1.91,1.1617
-5.73,-7.885
0.23,0.2713
4.85,-4.1298
-0.23,-0.1738
-6.19,-6.7247
8.96,-3.9543
8.35,3.3924
-7.09,0.1979
-0.7,-0.0823
5.14,-2.5337
2.42,-0.2294
-0.63,-0.1359
-6.85,-2.0641
-9.33,10.1457
6.81,9.3079
-2.31,3.2591
-7.53,4.6981
-7.32,2.5899
7.76,8.4371
-8.29,11.0325
-1.23,0.7542
-1.95,2.5276
8.42,2.5781
8.5,1.7196
-0.63,-0.1391
-0.88,0.1228
6.58,8.2028
-4.9,-5.7069
1.31,1.6038
-6.88,-1.8243
-7.45,3.8739
5.36,-1.0563
7.93,7.3293
9.57,-10.8891
2.35,0.0343
6.47,7.5308
-5.18,-6.9745
4.66,-4.902
0.92,1.2853
-0.11,-0.0968
-4.13,-1.1912
5.72,1.7444
-2.53,3.5205
-1.89,2.3935
-6.94,-1.3055
4.98,-3.4801
2.59,-0.8618
-0.25,-0.1823
-9.3,10.3803
-4.29,-2.132
8.86,-2.7112
-8.98,11.9772
-8.81,12.2748
6.69,8.7937
-5.97,-7.522
9.26,-7.6523
-6.83,-2.2398
6.61,8.3584
8.17,5.2732
1.11,1.4855
-1.89,2.3822
0.1,0.1079
1.42,1.617
4.96,-3.586
2.08,0.8115
-1.19,0.6612
9.76,-12.4085
-4.02,-0.5163
0.19,0.2247
5.76,2.0905
0.56,0.7724
1.71,1.4521
3.29,-3.7386
9.98,-13.7327
-3.67,1.2985
-0.68,-0.1038
2.03,0.9142
-1.28,0.8589
3.22,-3.474
3.71,-5.1132
-4.16,-1.3836
8.32,3.6769
5.78,2.3033
8.16,5.3639
2.79,-1.6778
5.49,-0.0311
-1.17,0.6124
2.27,0.2779
6.13,5.1528
-4.75,-4.9248
4.51,-5.332
9.55,-10.7085
-8.27,10.905
4.52,-5.3057
-4.88,-5.6241
-8.39,11.503
1.98,1.0331
-0.87,0.1104
-2.65,3.5862
-8.85,12.2345
7.74,8.5962
-9.15,11.3113
9.01,-4.6247
-5.3,-7.3535
-6.86,-1.9751
1.88,1.2106
7.55,9.4546
2.72,-1.3723
3.02,-2.6498
8.72,-0.944
-3.34,2.6239
-5.82,-7.8091
-3.38,2.4737
3.77,-5.2566
-0.76,-0.0249
2.97,-2.4212
9.77,-12.5226
-9.78,5.8197
7.34,10.0019
-6.48,-5.0639
7.29,10.0566
2.65,-1.0684
-0.7,-0.0861
-8.49,11.8655
-9.03,11.8017
8.29,3.9756
8.05,6.2901
1.14,1.5155
4.96,-3.6072
-4.83,-5.3683
-6.51,-4.8845
-8.13,10.0065
-3.59,1.6852
4.91,-3.8256
-5.91,-7.6554
-4.1,-0.9973
-7.04,-0.2526
0.79,1.1206
-1.87,2.3498
-4.03,-0.5816
-9.72,6.437
-5.88,-7.7216
0.1,0.1123
-2.5,3.4965
2.22,0.4315
1.49,1.6055
6.15,5.266
-5.6,-7.8781
-6.57,-4.4065
-6.34,-5.9753
9.78,-12.6049
3.62,-4.8886
-2.71,3.5951
3.57,-4.7313
-1.95,2.54
-6.44,-5.3506
2.71,-1.3151
-0.41,-0.2126
0.78,1.0991
-6.06,-7.2631
-5.12,-6.723
-7.09,0.2501
5.48,-0.1706
0.26,0.3153
-3.21,2.9805
-7.02,-0.4654
4.29,-5.6702
-5.75,-7.8725
7.54,9.4959
-4.21,-1.6844
7.08,10.0124
-7.37,3.0883
-9.93,3.8416
-9.41,9.5697
2.14,0.639
-4.89,-5.6703
3.89,-5.5018
6.4,7.103
-5.28,-7.2812
-8.05,9.4959
-8.83,12.261
-0.17,-0.1388
-2.6,3.5674
2.27,0.272
7.4,9.9049
-6.62,-4.037
4.02,-5.6618
6.44,7.3715
-7.77,7.1004
